epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,724.869,1.13034,2.0295,1.81983,1.01339,0.62546,0.31065,0.345,0.22751,0.64351,0.30246,0.33557,0.17313,1.28743,2.2397,2.07304,1.12476,0.000445145,0.000445145,0.000445145
112,731.304,1.09126,1.96769,1.79031,0.99364,0.62057,0.31445,0.34227,0.22423,0.64188,0.30486,0.3337,0.16847,1.2937,2.24811,2.07343,1.12518,0.000434037,0.000434037,0.000434037
113,737.489,1.09373,2.00154,1.7885,0.99869,0.61774,0.31941,0.33969,0.22542,0.6225,0.30452,0.33152,0.17019,1.28155,2.22603,2.08026,1.12143,0.000422929,0.000422929,0.000422929
114,743.799,1.09062,1.92702,1.768,0.99755,0.62301,0.31591,0.34344,0.22717,0.58711,0.30306,0.33188,0.17351,1.25072,2.21015,2.06782,1.11202,0.000411821,0.000411821,0.000411821
115,750.262,1.09151,1.97527,1.81185,0.99019,0.61742,0.31748,0.34195,0.22703,0.61323,0.30599,0.33666,0.17697,1.24277,2.20987,2.06538,1.11272,0.000400713,0.000400713,0.000400713
116,756.509,1.11561,2.02791,1.82567,1.00995,0.57397,0.32819,0.33601,0.22113,0.55262,0.32324,0.33556,0.17032,1.25135,2.24475,2.08495,1.12074,0.000389606,0.000389606,0.000389606
117,763.086,1.12269,2.06937,1.85011,1.00961,0.6151,0.31232,0.33939,0.2228,0.63501,0.30336,0.3354,0.1728,1.25798,2.24226,2.09508,1.12185,0.000378498,0.000378498,0.000378498
118,769.428,1.11728,1.97991,1.81115,1.00411,0.56961,0.3206,0.33438,0.22092,0.57499,0.31298,0.33297,0.17072,1.27698,2.23343,2.11265,1.12816,0.00036739,0.00036739,0.00036739
119,775.977,1.14356,2.10558,1.88767,1.01781,0.54308,0.32816,0.33375,0.22062,0.53316,0.31477,0.32818,0.16853,1.2805,2.22367,2.13827,1.12656,0.000356282,0.000356282,0.000356282
120,782.394,1.15556,2.08294,1.9106,1.01898,0.53075,0.32528,0.33228,0.21939,0.56733,0.30483,0.32414,0.16674,1.26223,2.24292,2.1544,1.11167,0.000345175,0.000345175,0.000345175
121,788.762,1.07246,2.0077,1.76405,0.99176,0.57261,0.31593,0.32994,0.21871,0.59177,0.29953,0.32032,0.16736,1.24951,2.22468,2.15025,1.10627,0.000334067,0.000334067,0.000334067
122,795.171,1.10384,2.07677,1.83675,1.00125,0.5806,0.30648,0.33045,0.22097,0.60302,0.29485,0.32194,0.17155,1.24229,2.22022,2.13977,1.10353,0.000322959,0.000322959,0.000322959
123,801.53,1.07765,1.97819,1.76901,0.98997,0.6016,0.3075,0.33226,0.2228,0.61649,0.29372,0.32795,0.17312,1.25216,2.23363,2.13693,1.11162,0.000311851,0.000311851,0.000311851
124,808.191,1.12598,2.06007,1.86687,1.0135,0.64378,0.2977,0.33913,0.2226,0.63958,0.2915,0.32942,0.17166,1.25078,2.32525,2.09861,1.11164,0.000300743,0.000300743,0.000300743
125,814.62,1.11103,2.02649,1.82045,0.99521,0.58709,0.31411,0.33945,0.22309,0.59122,0.30647,0.33032,0.17092,1.25334,2.32822,2.09997,1.11446,0.000289636,0.000289636,0.000289636
126,821.295,1.11529,2.01014,1.78653,1.00068,0.59393,0.31381,0.34025,0.2248,0.6209,0.30444,0.33491,0.17651,1.25794,2.2972,2.0954,1.11929,0.000278528,0.000278528,0.000278528
