    epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,408.354,1.18645,2.1143,1.03992,1.03999,0.61657,0.29167,0.33097,0.22075,0.58035,0.28262,0.31446,0.16841,1.28404,2.21763,1.12677,1.1355,0.000676802,0.000676802,0.000676802
74,413.479,1.31454,2.42992,1.18858,1.10737,0.57602,0.31083,0.3357,0.21983,0.54268,0.29081,0.31075,0.16423,1.29996,2.22808,1.1263,1.1318,0.000663049,0.000663049,0.000663049
75,418.541,1.19179,2.13744,1.05996,1.03851,0.57811,0.30562,0.33371,0.21846,0.52788,0.30039,0.31298,0.16558,1.30949,2.24253,1.13857,1.13748,0.000649297,0.000649297,0.000649297
76,423.556,1.22122,2.21825,1.07371,1.05232,0.56102,0.30598,0.33431,0.21977,0.50663,0.29895,0.31216,0.16786,1.32437,2.23447,1.14526,1.14169,0.000635544,0.000635544,0.000635544
77,428.643,1.15856,2.03853,1.01821,1.0168,0.53573,0.3154,0.33011,0.2179,0.49314,0.3098,0.31264,0.16626,1.31586,2.23551,1.13623,1.13887,0.000621791,0.000621791,0.000621791
78,433.892,1.20614,2.1755,1.06938,1.04698,0.54518,0.31623,0.33494,0.22035,0.53205,0.29953,0.3178,0.16678,1.29743,2.25288,1.10987,1.12653,0.000608038,0.000608038,0.000608038
79,439.092,1.20879,2.17473,1.07015,1.03841,0.60189,0.3019,0.33829,0.22312,0.52946,0.30236,0.31948,0.17194,1.29856,2.27743,1.10014,1.13188,0.000594286,0.000594286,0.000594286
80,444.33,1.24601,2.26986,1.08253,1.06571,0.58189,0.31213,0.33722,0.22304,0.67475,0.27211,0.32095,0.17122,1.31529,2.32071,1.10184,1.13893,0.000580533,0.000580533,0.000580533
81,449.604,1.26251,2.2119,1.05544,1.04474,0.63401,0.30542,0.33832,0.22316,0.61438,0.29433,0.32221,0.17155,1.29888,2.29533,1.10735,1.13357,0.00056678,0.00056678,0.00056678
82,454.844,1.17453,2.11141,1.04983,1.0334,0.65771,0.30515,0.33157,0.21648,0.58458,0.29552,0.31303,0.16376,1.29544,2.27859,1.15709,1.13342,0.000553027,0.000553027,0.000553027
83,460.09,1.17653,2.16503,1.05251,1.02589,0.74991,0.27657,0.33062,0.21843,0.61985,0.28616,0.31573,0.16695,1.31006,2.25547,1.1252,1.13603,0.000539275,0.000539275,0.000539275
84,466.746,1.28697,2.38427,1.13436,1.08505,0.67806,0.29465,0.33288,0.21899,0.63077,0.28926,0.31906,0.1699,1.30183,2.2533,1.10305,1.13244,0.000525522,0.000525522,0.000525522
85,472.244,1.18568,2.16455,1.04209,1.03359,0.60835,0.30571,0.3343,0.2203,0.61927,0.29286,0.32198,0.16901,1.29333,2.25977,1.09675,1.12547,0.000511769,0.000511769,0.000511769
86,478.218,1.1816,2.17504,1.03981,1.03166,0.63165,0.30045,0.33716,0.22044,0.59348,0.29082,0.31945,0.16549,1.28321,2.26637,1.09003,1.12275,0.000498016,0.000498016,0.000498016
87,483.664,1.16507,2.09421,1.00098,1.01707,0.62559,0.29841,0.33179,0.21876,0.5884,0.29076,0.31694,0.16493,1.27554,2.28046,1.08152,1.11922,0.000484263,0.000484263,0.000484263
88,489.278,1.15088,2.10231,0.99639,1.01935,0.60855,0.29853,0.33311,0.22131,0.57576,0.28994,0.32064,0.16765,1.25753,2.29028,1.08732,1.11513,0.000470511,0.000470511,0.000470511
89,494.859,1.14919,2.10611,0.98508,1.022,0.63164,0.29479,0.33701,0.22386,0.59805,0.28431,0.31907,0.167,1.2817,2.2911,1.10045,1.1265,0.000456758,0.000456758,0.000456758
90,500.834,1.1249,2.04373,0.97989,1.0181,0.62286,0.29548,0.33486,0.21927,0.59112,0.28292,0.3149,0.15931,1.31292,2.29056,1.11274,1.13978,0.000443005,0.000443005,0.000443005
91,506.146,1.1282,2.04151,0.97768,1.0044,0.61791,0.29374,0.33236,0.21398,0.56494,0.28265,0.30955,0.15525,1.33304,2.30528,1.11725,1.14968,0.000429253,0.000429253,0.000429253
92,512.987,1.15821,2.12782,1.01197,1.0189,0.52868,0.31815,0.32803,0.21175,0.49165,0.29812,0.30634,0.15415,1.33794,2.3553,1.12706,1.15348,0.0004155,0.0004155,0.0004155
93,518.342,1.13579,2.11473,0.97687,1.01068,0.54257,0.31785,0.3292,0.21364,0.64844,0.27223,0.31112,0.15577,1.32167,2.3542,1.12019,1.14374,0.000401747,0.000401747,0.000401747
94,524.866,1.16673,2.0845,0.99102,1.01318,0.585,0.30336,0.33049,0.21597,0.65088,0.26742,0.31298,0.15797,1.31692,2.32659,1.1065,1.14614,0.000387994,0.000387994,0.000387994
95,530.287,1.13338,2.08149,0.97676,1.01116,0.65171,0.29079,0.3343,0.21881,0.64074,0.27122,0.31567,0.15929,1.29761,2.3449,1.09596,1.13976,0.000374242,0.000374242,0.000374242
